order,society_name_dplace,society_xd_id,language_glottocode,language_name,language_family,group,technology,Subsistence,Ec Org,Politics,ceremony,Spirits,total,Lat,Long,long,lat,altitude,precip,veg,jan temp,july temp,pop density,Fixity of settlement,size of com 7cat,size of community population,Overall Richness,Sea mammal Richness,Fish Richness,Land mammal Richness,acquatic to land ratio...32,acquatic to land ratio...33,form of marriage,incidence of polygamy,postnuptial household residence,forms of descent,forms of kinship,relationships within dem kinship units,relationships within stip kinship units,activities of stip kinship,Agricultrual production,ag recoded,Language,phyla,family...46,branch,id,family...49,Areakm,material_culture,div_of_labor,econ_dist,property,marriage,family,descent,war,lifecycle,shamans,illness,magic
16,Squamish,xd1072,squa1248,Squamish,Salishan,Squamish Salish,5,20,52,9,6,5,173,49.7,123.3,5,4,1,5,2,4,2,4,4,2,2,52,22,16,12,3.166666667,3.166666667,1,3,5,1,2,3,1,1,1,1,9,4,32,13,16,32,3933.01,20,26,12,9,6,2,9,11,21,5,2,4
17,Cowichan,xd1086,cowi1241,Cowichan,Salishan,Cowichan Salish,6,19,52,9,7,4,174,48.7,123.7,5,4,1,4,2,4,2,4,4,2,2,48,22,16,8,4.75,4.75,1,3,5,1,2,3,1,1,1,1,9,4,32,13,17,32,3933.01,18,26,14,10,7,2,9,11,21,5,2,4
18,West Saanich,xd1428,saan1246,Saanich,Salishan,West Sanetch,6,19,49,9,7,3,169,48.4,123.5,5,4,1,4,2,4,2,4,4,2,2,49,23,16,8,4.875,4.875,1,3,5,1,2,3,1,1,1,1,9,4,32,13,18,32,3146.41,17,26,14,10,6,2,9,11,21,5,2,4
19,StÃ³:lÅ,xd1087,chil1281,Chiliwack,Salishan,Upper Stalo,5,20,44,9,7,3,166,49.4,121.5,5,4,1,4,2,4,2,4,4,2,2,34,0,18,13,1.384615385,1.384615385,1,3,5,1,1,1,1,1,1,1,9,4,32,13,19,32,5243.99,19,24,12,10,7,1,4,10,22,5,2,4
20,Musqueam,xd1441,musq1240,Musqueam,Salishan,Lower Fraser,5,21,44,9,7,4,167,49.3,123.3,5,4,1,4,2,4,2,4,4,3,3,50,22,13,12,2.916666667,2.916666667,1,3,5,1,2,3,1,1,1,1,9,4,32,13,20,32,5243.99,18,25,10,10,7,2,9,10,21,5,2,4
21,Lummi,xd1074,lumm1243,Lummi,Salishan,Lummi,5,20,51,9,7,4,165,48.7,123.7,5,4,1,4,2,4,2,4,4,3,3,56,23,18,12,3.416666667,3.416666667,1,3,5,1,2,3,1,1,1,1,9,4,32,13,21,32,2810.42,16,26,14,9,7,2,9,10,22,5,4,4
22,Klallam,xd1075,clal1241,Clallam,Salishan,Klallam,7,21,47,10,7,3,165,48.2,123.2,5,4,1,4,2,4,2,2,4,2,2,56,24,18,11,3.818181818,3.818181818,1,3,5,1,1,1,1,1,1,1,9,4,32,13,22,32,3835.38,15,25,11,8,6,0,3,9,21,5,2,4
23,Twana,xd1079,twan1247,Twana,Salishan,Twana,6,22,49,7,7,3,169,47.3,123,5,4,1,4,2,4,2,4,4,2,2,55,23,18,11,3.727272727,3.727272727,1,2,5,1,2,3,1,1,1,1,9,4,32,13,23,32,6255.83,20,25,12,9,7,2,9,5,22,5,5,4
24,Quinault,xd1085,quin1251,Quinault,Salishan,Quinault,5,19,41,8,7,3,167,47.4,124.1,5,4,1,6,2,5,1,3,4,1,1,57,25,18,11,3.909090909,3.909090909,1,2,5,1,2,3,1,1,1,1,9,4,32,13,24,32,827.53,20,25,9,8,6,2,9,7,19,5,5,4
25,Puyallup,xd1076,sout2965,Southern Puget Sound Salish,Salishan,Puyallup,6,21,48,9,7,3,173,47.1,122.5,5,4,1,4,2,4,2,4,4,1,1,58,24,18,13,3.230769231,3.230769231,1,2,1,1,1,1,1,1,1,1,9,4,32,13,25,32,11495.97,20,25,10,9,4,0,3,9,20,5,2,4
26,Quileute,xd1077,quil1240,Quileute,Chimakuan,Quileute,4,17,42,9,6,4,148,47.9,124.3,5,4,1,5,2,5,1,3,4,1,1,57,25,18,11,3.909090909,3.909090909,1,2,5,1,2,3,1,1,1,1,8,4,31,15,26,31,1724.19,17,25,12,7,5,2,10,9,22,5,2,4
27,Lower Chinook,xd1078,chin1286,Chinook,Chinookan,Lower Chinook,6,20,44,9,7,5,166,46.4,124,5,4,1,5,2,5,1,2,4,2,2,59,26,17,13,3.307692308,3.307692308,1,3,5,1,2,3,1,1,5,5,2,2,8,15,27,8,4014.11,18,25,12,11,6,2,9,8,23,5,2,6
28,Tillamook,xd1080,till1254,Tillamook,Salishan,Tillamook,4,19,42,3,6,2,146,45.5,123.9,5,4,1,5,2,5,1,4,4,1,1,56,25,15,13,3.076923077,3.076923077,1,3,5,1,1,1,1,1,5,5,9,4,32,12,28,32,4029.19,20,24,13,8,7,0,3,9,20,5,2,6
29,Alsea,xd1088,alse1251,Alsea-Yaquina,NA,Alsea,5,16,41,4,4,3,134,44.7,124,5,3,1,5,2,5,1,3,4,1,1,56,25,15,13,3.076923077,3.076923077,1,2,5,1,1,1,1,1,5,5,2,2,5,15,29,5,1303.25,13,24,11,8,6,0,3,9,18,5,2,6
30,Siuslaw,xd1089,sius1254,Siuslaw,NA,Siuslaw,7,17,42,4,4,3,138,44,124,5,3,1,5,2,5,1,3,4,1,1,56,25,15,13,3.076923077,3.076923077,1,3,5,1,2,3,1,1,5,5,2,2,5,15,30,5,7205.38,15,24,12,7,8,2,7,10,18,5,2,6
31,Coos,xd1081,coos1249,Hanis,Coosan,Coos,6,16,41,4,4,3,126,43.3,124.2,5,3,1,5,2,5,1,3,4,1,1,56,25,15,13,3.076923077,3.076923077,1,3,5,1,2,3,1,1,5,5,2,2,6,15,31,6,3284.89,14,24,12,7,8,2,9,10,18,5,2,6
32,Tututni,xd1092,tutu1242,Tututni,Athabaskan-Eyak-Tlingit,Tututni,7,18,42,2,5,2,144,42.5,124.3,5,3,1,5,2,5,1,3,4,1,1,53,25,14,11,3.545454545,3.545454545,1,3,5,2,4,3,1,1,5,5,5,4,29,15,32,29,2106.38,18,24,13,7,8,2,9,10,19,5,2,6
33,Chetco,xd1422,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,Chetco,7,18,41,4,5,2,148,42.1,124.2,5,3,1,5,2,5,1,3,4,1,1,53,25,14,11,3.545454545,3.545454545,1,3,1,2,4,3,1,1,5,5,5,4,29,15,33,29,7821.93,18,24,12,7,7,2,9,11,18,5,2,6
